tag,dataset,seed,mode,placement,gens,pop,wall_ms,placed,total,n_sheets,fitness,bbox_width,util_strip,util_sheet,overlap_area
baseline,rects,7,1,0,20,30,599.1,28,28,1,3225651.959577,1280.387,0.85693,0.54860,0.000000
baseline,rects,17,1,0,20,30,668.8,28,28,1,3230054.153892,1269.995,0.86395,0.54860,0.000000
baseline,rects,27,1,0,20,30,657.0,28,28,1,3220519.261966,1259.570,0.87110,0.54860,0.000000
baseline,rects,37,1,0,20,30,632.8,28,28,1,3218324.935489,1248.774,0.87863,0.54860,0.000000
baseline,rects,47,1,0,20,30,683.6,28,28,1,3218234.503496,1240.330,0.88461,0.54860,0.000000
baseline,rects,7,1,1,20,30,639.0,28,28,1,1986248.013783,1247.506,0.87952,0.54860,0.000000
baseline,rects,17,1,1,20,30,628.0,28,28,1,1986243.083002,1244.401,0.88171,0.54860,0.000000
baseline,rects,27,1,1,20,30,645.0,28,28,1,1986245.595100,1252.543,0.87598,0.54860,0.000000
baseline,rects,37,1,1,20,30,672.1,28,28,1,1986233.004557,1238.410,0.88598,0.54860,0.000000
baseline,rects,47,1,1,20,30,704.5,28,28,1,1986251.660520,1246.757,0.88005,0.54860,0.000000
baseline,rects,7,1,2,20,30,13108.9,28,28,1,3202799.225666,1556.174,0.70507,0.54860,0.000000
baseline,rects,17,1,2,20,30,12154.4,28,28,1,3207763.619171,1247.854,0.87927,0.54860,0.000000
baseline,rects,27,1,2,20,30,13443.8,28,28,1,3208970.083509,1564.074,0.70151,0.54860,0.000000
baseline,rects,37,1,2,20,30,12736.8,28,28,1,3214033.155994,1256.041,0.87354,0.54860,0.000000
baseline,rects,47,1,2,20,30,13276.9,28,28,1,3209080.523511,1239.721,0.88504,0.54860,0.000000
baseline,concave,7,1,0,20,30,2192.0,45,45,1,3575107.677515,1660.706,0.61813,0.51326,0.000000
baseline,concave,17,1,0,20,30,2287.1,45,45,1,3599275.757066,1648.404,0.62274,0.51326,0.000000
baseline,concave,27,1,0,20,30,2072.5,45,45,1,3590193.841122,1641.589,0.62532,0.51326,0.000000
baseline,concave,37,1,0,20,30,2121.8,45,45,1,3532342.017503,1562.808,0.65685,0.51326,0.000000
baseline,concave,47,1,0,20,30,2111.6,45,45,1,3605468.254276,1677.409,0.61197,0.51326,0.000000
baseline,concave,7,1,1,20,30,2048.9,45,45,1,1987004.558381,1617.646,0.63458,0.51326,0.000000
baseline,concave,17,1,1,20,30,2075.4,45,45,1,1986945.608085,1592.650,0.64454,0.51326,0.000000
baseline,concave,27,1,1,20,30,2167.9,45,45,1,1986983.846587,1615.354,0.63548,0.51326,0.000000
baseline,concave,37,1,1,20,30,2127.6,45,45,1,1986963.796830,1599.052,0.64196,0.51326,0.000000
baseline,concave,47,1,1,20,30,2028.5,45,45,1,1986999.992265,1618.670,0.63418,0.51326,0.000000
baseline,concave,7,1,2,20,30,22228.6,45,45,1,3611718.597158,1668.257,0.61533,0.51326,0.000000
baseline,concave,17,1,2,20,30,22789.5,45,45,1,3596810.292680,1619.776,0.63375,0.51326,0.000000
baseline,concave,27,1,2,20,30,22510.8,45,45,1,3633097.050066,1695.459,0.60546,0.51326,0.000000
baseline,concave,37,1,2,20,30,22304.6,45,45,1,3630758.044272,1647.650,0.62302,0.51326,0.000000
baseline,concave,47,1,2,20,30,22583.0,45,45,1,3613673.627210,1660.423,0.61823,0.51326,0.000000
baseline,rings,7,1,0,20,30,940.2,26,26,1,2878289.750201,1147.341,0.47530,0.27267,0.000000
baseline,rings,17,1,0,20,30,883.0,26,26,1,2906236.996336,1050.716,0.51901,0.27267,0.000000
baseline,rings,27,1,0,20,30,849.6,26,26,1,2904490.664726,1181.077,0.46173,0.27267,0.000000
baseline,rings,37,1,0,20,30,961.4,26,26,1,2876845.359927,1246.017,0.43766,0.27267,0.000000
baseline,rings,47,1,0,20,30,975.1,26,26,1,2893548.503563,1195.574,0.45613,0.27267,0.000000
baseline,rings,7,1,1,20,30,882.4,26,26,1,1985719.600481,1028.107,0.53043,0.27267,0.000000
baseline,rings,17,1,1,20,30,854.2,26,26,1,1985714.624232,1030.345,0.52927,0.27267,0.000000
baseline,rings,27,1,1,20,30,875.7,26,26,1,1985718.706606,1041.984,0.52336,0.27267,0.000000
baseline,rings,37,1,1,20,30,925.4,26,26,1,1985693.091655,1027.787,0.53059,0.27267,0.000000
baseline,rings,47,1,1,20,30,958.1,26,26,1,1985710.529917,1028.107,0.53043,0.27267,0.000000
baseline,rings,7,1,2,20,30,14773.2,26,26,1,2906564.462086,1183.747,0.46069,0.27267,0.000000
baseline,rings,17,1,2,20,30,14927.0,26,26,1,2905999.108270,1265.837,0.43081,0.27267,0.000000
baseline,rings,27,1,2,20,30,14339.7,26,26,1,2907126.588620,1159.073,0.47049,0.27267,0.000000
baseline,rings,37,1,2,20,30,15353.8,26,26,1,2906181.113013,1161.492,0.46951,0.27267,0.000000
baseline,rings,47,1,2,20,30,14556.9,26,26,1,2890668.607064,1062.117,0.51344,0.27267,0.000000
baseline-m0,rects,7,0,1,20,30,1278.9,28,28,1,1.000630,1243.782,0.88215,0.54860,0.000000
baseline-m0,rects,17,0,1,20,30,1244.5,28,28,1,1.000635,1253.019,0.87565,0.54860,0.000000
baseline-m0,rects,27,0,1,20,30,1356.2,28,28,1,1.000629,1241.939,0.88346,0.54860,0.000000
baseline-m0,rects,37,0,1,20,30,1437.2,28,28,1,1.000622,1226.638,0.89448,0.54860,0.000000
baseline-m0,rects,47,0,1,20,30,1504.7,28,28,1,1.000636,1254.862,0.87436,0.54860,0.000000
baseline-m0,concave,7,0,1,20,30,5747.5,45,45,1,1.000813,1602.915,0.64041,0.51326,0.000000
baseline-m0,concave,17,0,1,20,30,6009.9,45,45,1,1.000823,1625.613,0.63147,0.51326,0.000000
baseline-m0,concave,27,0,1,20,30,6073.0,45,45,1,1.000822,1620.404,0.63350,0.51326,0.000000
baseline-m0,concave,37,0,1,20,30,6205.4,45,45,1,1.000816,1612.295,0.63669,0.51326,0.000000
baseline-m0,concave,47,0,1,20,30,6226.6,45,45,1,1.000821,1618.824,0.63412,0.51326,0.000000
baseline-m0,rings,7,0,1,20,30,4179.5,26,26,1,1.000519,1023.503,0.53281,0.27267,0.000000
baseline-m0,rings,17,0,1,20,30,4622.3,26,26,1,1.000519,1023.503,0.53281,0.27267,0.000000
baseline-m0,rings,27,0,1,20,30,4497.4,26,26,1,1.000519,1023.824,0.53265,0.27267,0.000000
baseline-m0,rings,37,0,1,20,30,4418.6,26,26,1,1.000519,1023.503,0.53281,0.27267,0.000000
baseline-m0,rings,47,0,1,20,30,4355.1,26,26,1,1.000519,1023.503,0.53281,0.27267,0.000000
