tag,dataset,seed,mode,placement,gens,pop,wall_ms,placed,total,n_sheets,fitness,bbox_width,util_strip,util_sheet,overlap_area
q1-control,rects,7,1,1,999,30,10016.4,28,28,1,1986199.875817,1221.727,0.89808,0.54860,0.000000
q1-control,rects,17,1,1,999,30,10024.6,28,28,1,1986219.161339,1242.265,0.88323,0.54860,0.000000
q1-control,rects,27,1,1,999,30,10006.3,28,28,1,1986233.161931,1244.235,0.88183,0.54860,0.000000
q1-control,rects,37,1,1,999,30,10023.7,28,28,1,1986200.816093,1222.316,0.89765,0.54860,0.000000
q1-control,rects,47,1,1,999,30,10011.8,28,28,1,1986227.798387,1241.697,0.88363,0.54860,0.000000
q1-allrot,rects,7,1,1,999,30,10031.0,28,28,1,1986207.912137,1236.872,0.88708,0.54860,0.000000
q1-allrot,rects,17,1,1,999,30,10011.4,28,28,1,1986207.912137,1236.872,0.88708,0.54860,0.000000
q1-allrot,rects,27,1,1,999,30,10028.6,28,28,1,1986207.912137,1236.872,0.88708,0.54860,0.000000
q1-allrot,rects,37,1,1,999,30,10025.7,28,28,1,1986211.792448,1237.923,0.88633,0.54860,0.000000
q1-allrot,rects,47,1,1,999,30,10028.2,28,28,1,1986194.629887,1229.988,0.89205,0.54860,0.000000
q1-control,concave,7,1,1,999,30,10030.6,45,45,1,1986972.271331,1606.578,0.63895,0.51326,0.000000
q1-control,concave,17,1,1,999,30,10055.8,45,45,1,1986905.438159,1573.702,0.65230,0.51326,0.000000
q1-control,concave,27,1,1,999,30,10076.7,45,45,1,1986977.753800,1609.598,0.63775,0.51326,0.000000
q1-control,concave,37,1,1,999,30,10076.0,45,45,1,1986897.568233,1568.110,0.65463,0.51326,0.000000
q1-control,concave,47,1,1,999,30,10072.0,45,45,1,1986904.487879,1573.162,0.65252,0.51326,0.000000
q1-allrot,concave,7,1,1,999,30,10095.0,45,45,1,1986824.486500,1531.966,0.67007,0.51326,0.000000
q1-allrot,concave,17,1,1,999,30,10062.8,45,45,1,1986859.830361,1549.242,0.66260,0.51326,0.000000
q1-allrot,concave,27,1,1,999,30,10019.9,45,45,1,1986788.368340,1514.715,0.67770,0.51326,0.000000
q1-allrot,concave,37,1,1,999,30,10093.8,45,45,1,1986775.463083,1508.123,0.68066,0.51326,0.000000
q1-allrot,concave,47,1,1,999,30,10017.3,45,45,1,1986870.433505,1555.748,0.65983,0.51326,0.000000
q1-control,rings,7,1,1,999,30,10026.3,26,26,1,1985701.890493,1024.931,0.53207,0.27267,0.000000
q1-control,rings,17,1,1,999,30,10022.8,26,26,1,1985702.859695,1028.107,0.53043,0.27267,0.000000
q1-control,rings,27,1,1,999,30,10022.4,26,26,1,1985704.203267,1028.054,0.53045,0.27267,0.000000
q1-control,rings,37,1,1,999,30,10012.6,26,26,1,1985693.091655,1027.787,0.53059,0.27267,0.000000
q1-control,rings,47,1,1,999,30,10012.0,26,26,1,1985690.401092,1025.252,0.53190,0.27267,0.000000
q1-allrot,rings,7,1,1,999,30,10015.9,26,26,1,1985597.439978,1028.054,0.53045,0.27267,0.000000
q1-allrot,rings,17,1,1,999,30,10028.5,26,26,1,1985597.439982,1028.054,0.53045,0.27267,0.000000
q1-allrot,rings,27,1,1,999,30,10010.1,26,26,1,1985597.439981,1028.054,0.53045,0.27267,0.000000
q1-allrot,rings,37,1,1,999,30,10027.9,26,26,1,1985597.439982,1028.054,0.53045,0.27267,0.000000
q1-allrot,rings,47,1,1,999,30,10032.3,26,26,1,1985597.439978,1028.054,0.53045,0.27267,0.000000
q3-allrot,rects,7,1,1,999,30,10028.5,28,28,1,1986206.437030,1236.872,0.88708,0.54860,0.000000
q3-allrot,rects,17,1,1,999,30,10010.3,28,28,1,1986207.912137,1236.872,0.88708,0.54860,0.000000
q3-allrot,rects,27,1,1,999,30,10006.0,28,28,1,1986194.629887,1229.988,0.89205,0.54860,0.000000
q3-allrot,rects,37,1,1,999,30,10014.3,28,28,1,1986207.912137,1236.872,0.88708,0.54860,0.000000
q3-allrot,rects,47,1,1,999,30,10013.9,28,28,1,1986207.912137,1236.872,0.88708,0.54860,0.000000
q3-allrot,concave,7,1,1,999,30,10062.9,45,45,1,1986838.809242,1534.591,0.66892,0.51326,0.000000
q3-allrot,concave,17,1,1,999,30,10068.3,45,45,1,1986767.151840,1503.899,0.68258,0.51326,0.000000
q3-allrot,concave,27,1,1,999,30,10043.1,45,45,1,1986833.901449,1537.482,0.66767,0.51326,0.000000
q3-allrot,concave,37,1,1,999,30,10064.8,45,45,1,1986858.809767,1550.378,0.66211,0.51326,0.000000
q3-allrot,concave,47,1,1,999,30,10008.7,45,45,1,1986834.912352,1538.717,0.66713,0.51326,0.000000
q3-allrot,rings,7,1,1,999,30,10014.2,26,26,1,1985597.439978,1028.054,0.53045,0.27267,0.000000
q3-allrot,rings,17,1,1,999,30,10009.8,26,26,1,1985597.439985,1028.054,0.53045,0.27267,0.000000
q3-allrot,rings,27,1,1,999,30,10036.1,26,26,1,1985597.439987,1028.054,0.53045,0.27267,0.000000
q3-allrot,rings,37,1,1,999,30,10037.2,26,26,1,1985597.439982,1028.054,0.53045,0.27267,0.000000
